Title,docking score
HOSU49,-12.347542692804899
HOSU44,-12.33331216971
HOSU60,-11.899230986344499
HOSU47,-11.836373116014402
HOSU81,-11.810695793726701
HOSU46,-11.641835053213299
HOSU24,-11.463014781911
HOSU50,-11.437240355632099
HOSU39,-11.3670303344848
HOSU32,-11.3313842864146
HOSU36,-11.294419989055
HOSU72,-11.2137214689076
native,-11.192648043545502
HOSU59,-11.172721589990202
HOSU79,-11.145400868179902
HOSU48,-11.1135289006409
HOSU37,-11.0502581410112
HOSU65,-11.0281711807742
HOSU29,-10.999045900190499
HOSU40,-10.970371313511102
HOSU28,-10.9606342785657
HOSU35,-10.931761375168302
BAY2402234,-10.926210764979901
HOSU33,-10.9257062721619
BRQ,-10.9047743253778
HOSU42,-10.8916612758854
HOSU23,-10.8801599415534
HOSU30,-10.8760674964878
HOSU22,-10.8492697963069
HOSU52,-10.835381430805802
HOSU45,-10.826839060606702
HOSU41,-10.822405580742
HOSU21,-10.8163407519346
HOSU70,-10.7989878877842
HOSU43,-10.7966932804374
HOSU58,-10.7859319475597
HOSU25,-10.784568838582
HOSU69,-10.7819889184234
HOSU34,-10.755990101360899
HOSU67,-10.736312739868898
HOSU56,-10.7358091219852
HOSU27,-10.734509433071901
AML-2-1,-10.6978961118634
HOSU26,-10.6685446430117
AML-4-1,-10.6547808647927
51,-10.6471019466594
HOSU57,-10.6417084214746
HOSU74,-10.63958731529
HOSU78,-10.6244926419331
HOSU51,-10.6184054711222
HOSU53,-10.552278114256
AML-3-1,-10.5518260302396
HOSU20,-10.539211950010701
HOSU31,-10.5330558545989
AML-4-2,-10.493331354032701
HOSU38,-10.4926566657953
HOSU63,-10.4469119640823
AML-4-3,-10.443173713427
HOSU3,-10.4195808379088
AML-3-7,-10.4080664927013
HOSU54,-10.3876383526022
AML-2-2,-10.3396649893609
HOSU64,-10.2902620749174
AML-2-5,-10.248437112698499
HOSU71,-10.215582770949402
AML-4-4,-10.1684514564514
AML-3-9,-10.1096194898818
AML-3-6,-10.1019821006596
HOSU55,-10.0975829306066
AML-2-6,-9.980896213462222
AML-5-1,-9.95330623020895
HOSU61,-9.86860192032504
AML-3-8,-9.712913191214922
AML-3-3,-9.532292745761827
AML-1-3,-9.50593862533396
AML-5-6,-9.1856920315082
AML-3-2,-9.02879192552648
AML-4-7,-8.99243660083581
AML-3-5,-8.947354205982132
AML-4-5,-8.7393964114798
AML-1-4,-8.645575895673462
AML-4-6,-8.618719817621692
AML-3-4,-8.522696064571468
AML-5-5,-8.34166058035137
AML-5-7,-8.3178809368027
AML-2-3,-8.24856335313872
AML-5-3,-8.1095750315029
AML-2-4,-8.07245644956224
AML-5-4,-7.384187570298309
AML-5-2,-7.28612887227413
AML-1-1,-7.00900905596491
AML-1-2,-6.90368057212276
